gene,log2fc,pval,neg_log10_pval
'FGFBP2',4.067598648848911,1.0217432140877603e-31,30.990658237975584
'CYP4F3',3.405387652230188,1.887802427601449e-27,26.724043459769067
'UCHL1',3.3682803713039653,7.373834972932712e-35,34.13230658616938
'MAGEA1',3.301818520751149,5.634915821980477e-35,34.24911256734146
'GPC3',3.183750249554094,3.1507094037123267e-27,26.50159165083554
'UGT1A7',3.1654267396295546,2.836152329736229e-23,22.547270446906733
'GSTA1',3.1351155599837424,4.728596182944437e-25,24.325267772685176
'MAGEA4',3.047685167108011,1.4328821757381968e-80,79.8437895196728
'ADH7',3.0308114450580153,4.084315273037041e-41,40.388880741596004
'CDA',2.9753330053561315,1.3109356074786604e-32,31.88241864012037
'CT45A3',2.9568288515028653,3.2357900220547314e-29,28.490019668525072
'KLK6',2.8478550030976337,7.952141543906985e-22,21.09951589833023
'OSGIN1',2.8148480409690224,1.2000423513286803e-24,23.920803426765886
'AGPAT9',2.7984952006608363,2.3189032392688164e-24,23.634717372762765
'NEFL',2.7953782070150215,1.9749272487393494e-48,47.70444889803904
'GSTM1',2.726489130568219,2.065103529479541e-32,31.68505817105135
'ME1',2.719546700272031,3.605875888230617e-38,37.4429892254739
'MLLT11',2.649772333370546,1.6999006954774228e-33,32.76957644842518
'NTS',2.632551748570658,4.099886577982122e-15,14.38722815772852
'SPP1',2.563148363885153,1.0555013432767289e-20,19.976541209654005
'UGT1A6',2.5609640198181216,6.047759425969822e-32,31.21840549297838
'MAGEA3',2.5565905605472863,3.066788374918687e-48,47.51331619166539
'TSPAN7',2.5465436615189923,9.895347396943937e-26,25.00456895437043
'PRAME',2.4907064428306245,2.6671296573499554e-31,30.573955871410643
'SUSD4',2.474318814458397,3.893406618749128e-24,23.409670237161055
'PLBD1',2.4274034499765365,5.606121077800159e-44,43.25133752683034
'NDRG4',2.3792866412833855,3.3189769451380933e-28,27.478995764353698
'C16orf74',2.3657509546473166,6.411717237706725e-53,52.193025638659044
'MSC',2.3143745010812173,5.533782822763189e-27,26.256977889055985
'MSH2',2.3036309117534333,2.1925636187487665e-44,43.65904779642455
'KLK5',2.278644648000042,2.83890646779391e-39,38.54684891574823
'CCNB2',2.2118000775086863,3.97696170810549e-20,19.40044859056759
'CDC20',2.200002967239646,7.65517383238062e-24,23.116044942968788
'CYP2S1',2.1786651318457793,5.791275301937158e-44,43.237225789362896
'PIR',2.1513269239232313,1.0737417628960108e-30,29.96910015479519
'GINS2',2.147525555500636,1.670394593210768e-21,20.7771809244145
'CES1',2.1382472142090916,2.707612674992849e-21,20.567413461532023
'G6PD',2.123250390599088,2.0035831405363629e-50,49.69819263140597
'APOBEC3B',2.1116303711882165,1.3173062719155604e-21,20.880313240422335
